ID;Name;Kategorie;Icon;Vorschlaege;SaisonMonate
multivitamin;Multivitamin-Komplex;Pflege & Gesundheit;Pill;100 Kapseln;
augentropfen;Augentropfen;Pflege & Gesundheit;Droplets;10ml Flasche,Befeuchtend;
haarfarbe;Haarfarbe;Pflege & Gesundheit;Bath;Dunkelbraun,Blond;
haarspray;Haarspray;Pflege & Gesundheit;Bath;250ml Dose,Taft;
haargel;Haargel;Pflege & Gesundheit;Bath;150ml Dose;
nagellackentferner;Nagellackentferner;Pflege & Gesundheit;Droplets;Acetonfrei 200ml;
nagelfeile;Nagelfeile;Pflege & Gesundheit;Scissors;Glasfeile 1 Stk;
schokoriegel;Schokoriegel;Süssigkeiten;Cookie;;
geschenkgutschein;Geschenkgutschein;Pflege & Gesundheit;Heart;;
kochkaese;Kochkäse;Käse;Layers;;
minze;Minze;Obst;Apple;;
avocado;Avocado;Gemüse;Carrot;;
lyoner;Lyoner;Fleisch;Flame;;
smoothie;Smoothie;Getränke;Wine;;
ingwershot;Ingwershot;Getränke;Wine;;
marmelade;Marmelade;Grundzutaten;Egg;;
ayvar;Ayvar;Grundzutaten;Egg;;
keimoel;Keimöl;Grundzutaten;Droplets;;
oliven;Oliven;Gemüse;Carrot;;
vitaminwasser;Vitaminwasser;Getränke;Wine;;
cachaca;Cachaca;Getränke;Wine;;
margarine;Margarine;Milchprodukte;Milk;;
weingummi;Weingummi;Süssigkeiten;Cookie;;
waffeln;Waffeln;Brot & Gebäck;Wheat;;
krustenbraten;Krustenbraten;Fleisch;Flame;;
reinigungstuecher;Reinigungstücher;Haushalt;Shield;;
schwamm;Schwamm;Haushalt;Box;Topfschwamm,Tuchschwamm,Küchenschwamm;
milchsnack;Milchsnack;Milchprodukte;Milk;;
pralinen;Pralinen;Süssigkeiten;Cookie;;
rindfleisch;Rindfleisch;Fleisch;Beef;Rinderbraten,Burger-Patties,Rouladen,Filet,Spieße,Geschnetzeltes,Tafelspitz,1kg Stück,Frisch,TK;
artischocken;Artischocken;Gemüse;Carrot;;
brandy;Brandy;Getränke;Wine;Weinbrand,Cognac,0.7l;
brotchips;Brotchips;Süssigkeiten;Cookie;Knoblauch,Zwiebel,Knusprig,200g;
cocktail;Cocktail;Getränke;Wine;Mojito,Caipirinha,Pina Colada,Fertigmix,Dose;
essig;Essig;Grundzutaten;Wine;Tafelessig,Essigessenz,Kräuteressig,500ml;
fleischwurst;Fleischwurst;Fleisch;Flame;Im Ring,Mit Knoblauch,Geflügel-Fleischwurst,500g;
frikadellen;Frikadellen;Fleisch;Flame;Frikadellen / Buletten,500g,Geflügelfrikadellen,Kühlregal;
gelierzucker;Gelierzucker;Grundzutaten;Egg;1:1,2:1,3:1,500g Packung;
grappa;Grappa;Getränke;Wine;Italienisch,0.7l Flasche;
kohlrabi;Kohlrabi;Gemüse;Carrot;1 Stk,Mit Grün,2 Stk;5,6,7,8,9,10
leber;Leber;Fleisch;Flame;Rinderleber,Geflügelleber,Schweineleber,500g;
likor;Likör;Getränke;Wine;Eierlikör,Kräuterlikör,Fruchtlikör,0.7l;
limoncello;Limoncello;Getränke;Wine;Zitronenlikör,0.5l Flasche,Gekühlt;
malzbier;Malzbier;Getränke;Beer;Karakter,6er Pack,0.33l Flasche;
mocktail;Mocktail;Getränke;Wine;Alkoholfrei,Ipanema,Virgin Mojito,Dose;
pistazien;Pistazien;Getreideprodukte;Nut;Geröstet & Gesalzen,Ungesalzen,200g Beutel;
schnaps;Schnaps;Getränke;Wine;Obstler,Korn,Willi,0.7l;
triple_sec;Triple Sec;Getränke;Wine;Cointreau,Orangenlikör,0.7l Flasche;
hahnchen;Hähnchen;Fleisch;Drumstick;Hähnchenbrustfilet,Hähnchenflügel / Wings,Hähnchenkeulen / Schenkel,500g,1kg,Bio;
schwein;Schwein;Fleisch;Flame;Schweinebauch,Schweinebraten / Nacken,Schweinefilet,Schweinemett / Hackepeter,500g,1kg;
quark;Quark;Milchprodukte;Milk;Magerquark,Speisequark 40%,250g,500g Becher;
bruhe;Brühe;Grundzutaten;Soup;Gemüsebrühe,Hühnerbrühe,Rinderbrühe,Glas 400ml,Würfel;
pesto;Pesto;Grundzutaten;Package;Pesto Genovese,Pesto Rosso,Glas 190g;
mehl;Mehl;Grundzutaten;Wheat;Weizenmehl Type 405,Weizenmehl Type 550,Dinkelmehl Type 630,Vollkornmehl,1kg Packung;
waschmittel;Waschmittel;Haushalt;Shield;Colorwaschmittel,Feinwaschmittel / Wolle,Vollwaschmittel,Pulver,Flüssig;
mullbeutel;Müllbeutel;Haushalt;Shield;Müllbeutel 35 Liter,Müllbeutel 60 Liter,Bio 10 Liter,Mit Zugband;
deo;Deo;Pflege & Gesundheit;Bath;Deodorant-Spray,Deoroller / Deo-Stick,Ohne Aluminium;
